id	cluster_id	cluster_name	select	label
A0A0B4KI28	1	U-01	drosophila	D. melanogaster
A0A0B4KI34	1	U-01	drosophila	D. melanogaster
A0A0B4LEH1	0	unassigned	drosophila	D. melanogaster
A0A0B4LEH9	1	U-01	drosophila	D. melanogaster
A0A0B4LEI8	1	U-01	drosophila	D. melanogaster
A0A0B4LEJ6	1	U-01	drosophila	D. melanogaster
A0A0B4LEX6	0	unassigned	drosophila	D. melanogaster
A0A0B4LEY0	1	U-01	drosophila	D. melanogaster
A0A0B4LEY5	1	U-01	drosophila	D. melanogaster
A0A0B4LEZ1	1	U-01	drosophila	D. melanogaster
A0A0B4LF03	1	U-01	drosophila	D. melanogaster
A0A0B4LF75	1	U-01	drosophila	D. melanogaster
A0A0B4LF82	1	U-01	drosophila	D. melanogaster
A0A0B4LF93	1	U-01	drosophila	D. melanogaster
A0A0B4LFA2	1	U-01	drosophila	D. melanogaster
A0A0B4LFF8	1	U-01	drosophila	D. melanogaster
A0A0B4LFK8	1	U-01	drosophila	D. melanogaster
A0A0B4LFQ2	1	U-01	drosophila	D. melanogaster
A0A0B4LFQ3	1	U-01	drosophila	D. melanogaster
A0A0B4LFV0	1	U-01	drosophila	D. melanogaster
A0A0B4LFX2	1	U-01	drosophila	D. melanogaster
A0A0B4LFY9	1	U-01	drosophila	D. melanogaster
A0A0B4LFZ4	1	U-01	drosophila	D. melanogaster
A0A0B4LG27	1	U-01	drosophila	D. melanogaster
A0A0B4LGB7	1	U-01	drosophila	D. melanogaster
A0A0B4LGD3	1	U-01	drosophila	D. melanogaster
A0A0B4LGH1	1	U-01	drosophila	D. melanogaster
A0A0B4LGI1	1	U-01	drosophila	D. melanogaster
A0A0B4LGK5	1	U-01	drosophila	D. melanogaster
A0A0B4LGU9	1	U-01	drosophila	D. melanogaster
A0A0B4LGY8	1	U-01	drosophila	D. melanogaster
A0A0B4LH48	0	unassigned	drosophila	D. melanogaster
A0A0B4LHJ5	1	U-01	drosophila	D. melanogaster
A0A0B4LHR4	1	U-01	drosophila	D. melanogaster
A0A0B4LHU8	1	U-01	drosophila	D. melanogaster
A0A0B4LHX7	1	U-01	drosophila	D. melanogaster
A0A0B4LHY1	0	unassigned	drosophila	D. melanogaster
A0A0B4LHY5	1	U-01	drosophila	D. melanogaster
A0A0B4LI13	1	U-01	drosophila	D. melanogaster
A0A0B4LIA3	1	U-01	drosophila	D. melanogaster
A0A0B7P9E0	1	U-01	drosophila	D. melanogaster
A0A0B7P9G0	1	U-01	drosophila	D. melanogaster
A0A0C4DHD8	0	unassigned	drosophila	D. melanogaster
A0A0C4DHF6	1	U-01	drosophila	D. melanogaster
A0A0S0WH29	1	U-01	drosophila	D. melanogaster
A0A0S0WIG6	1	U-01	drosophila	D. melanogaster
A0A0S0WIH4	0	unassigned	drosophila	D. melanogaster
