id	cluster_id	cluster_name	select	label
NP_001303703.1	1	U-01	halys	H. halys
NP_001349931.1	0	unassigned	halys	H. halys
NP_001349934.1	0	unassigned	halys	H. halys
NP_001351145.1	0	unassigned	halys	H. halys
NP_001351150.1	0	unassigned	halys	H. halys
NP_001351151.1	0	unassigned	halys	H. halys
XP_014270178.1	0	unassigned	halys	H. halys
XP_014270179.1	1	U-01	halys	H. halys
XP_014270180.1	1	U-01	halys	H. halys
XP_014270181.1	1	U-01	halys	H. halys
XP_014270184.1	0	unassigned	halys	H. halys
XP_014270185.1	1	U-01	halys	H. halys
XP_014270187.1	1	U-01	halys	H. halys
XP_014270190.1	0	unassigned	halys	H. halys
XP_014270191.1	1	U-01	halys	H. halys
XP_014270192.1	1	U-01	halys	H. halys
XP_014270193.1	1	U-01	halys	H. halys
XP_014270195.1	1	U-01	halys	H. halys
XP_014270196.1	1	U-01	halys	H. halys
XP_014270198.2	1	U-01	halys	H. halys
XP_014270199.1	2	U-02	halys	H. halys
XP_014270200.1	1	U-01	halys	H. halys
XP_014270209.1	1	U-01	halys	H. halys
XP_014270214.1	1	U-01	halys	H. halys
XP_014270216.1	1	U-01	halys	H. halys
XP_014270217.1	1	U-01	halys	H. halys
XP_014270221.1	1	U-01	halys	H. halys
XP_014270222.1	1	U-01	halys	H. halys
XP_014270225.1	1	U-01	halys	H. halys
XP_014270226.1	1	U-01	halys	H. halys
XP_014270227.1	1	U-01	halys	H. halys
XP_014270229.1	1	U-01	halys	H. halys
XP_014270232.1	1	U-01	halys	H. halys
XP_014270233.1	1	U-01	halys	H. halys
XP_014270234.1	1	U-01	halys	H. halys
XP_014270235.1	1	U-01	halys	H. halys
XP_014270240.1	1	U-01	halys	H. halys
XP_014270242.1	1	U-01	halys	H. halys
XP_014270243.1	3	U-03	halys	H. halys
XP_014270244.1	1	U-01	halys	H. halys
XP_014270248.1	1	U-01	halys	H. halys
XP_014270249.1	1	U-01	halys	H. halys
XP_014270250.1	1	U-01	halys	H. halys
XP_014270251.1	1	U-01	halys	H. halys
XP_014270252.1	1	U-01	halys	H. halys
XP_014270255.1	1	U-01	halys	H. halys
XP_014270263.1	2	U-02	halys	H. halys
XP_014270264.1	1	U-01	halys	H. halys
XP_014270267.1	1	U-01	halys	H. halys
XP_014270269.1	1	U-01	halys	H. halys
XP_014270270.1	1	U-01	halys	H. halys
XP_014270272.1	3	U-03	halys	H. halys
XP_014270273.1	3	U-03	halys	H. halys
XP_014270275.1	3	U-03	halys	H. halys
XP_014270277.1	3	U-03	halys	H. halys
XP_014270279.1	3	U-03	halys	H. halys
XP_014270281.1	1	U-01	halys	H. halys
XP_014270284.1	1	U-01	halys	H. halys
XP_014270285.1	3	U-03	halys	H. halys
XP_014270286.1	1	U-01	halys	H. halys
XP_014270288.1	1	U-01	halys	H. halys
XP_014270289.1	1	U-01	halys	H. halys
XP_014270290.1	1	U-01	halys	H. halys
XP_014270294.1	1	U-01	halys	H. halys
XP_014270297.3	2	U-02	halys	H. halys
XP_014270299.1	1	U-01	halys	H. halys
XP_014270303.1	1	U-01	halys	H. halys
XP_014270305.1	3	U-03	halys	H. halys
XP_014270307.1	3	U-03	halys	H. halys
XP_014270308.1	1	U-01	halys	H. halys
XP_014270309.1	1	U-01	halys	H. halys
XP_014270312.1	1	U-01	halys	H. halys
XP_014270313.1	1	U-01	halys	H. halys
XP_014270314.1	1	U-01	halys	H. halys
XP_014270315.1	1	U-01	halys	H. halys
XP_014270316.1	1	U-01	halys	H. halys
XP_014270319.1	1	U-01	halys	H. halys
XP_014270320.1	1	U-01	halys	H. halys
XP_014270321.1	1	U-01	halys	H. halys
XP_014270322.1	1	U-01	halys	H. halys
XP_014270323.1	1	U-01	halys	H. halys
XP_014270325.1	1	U-01	halys	H. halys
XP_014270326.1	2	U-02	halys	H. halys
XP_014270327.1	1	U-01	halys	H. halys
XP_014270328.1	1	U-01	halys	H. halys
XP_014270332.3	3	U-03	halys	H. halys
XP_014270333.1	3	U-03	halys	H. halys
XP_014270334.1	3	U-03	halys	H. halys
XP_014270827.1	1	U-01	halys	H. halys
XP_014270828.1	1	U-01	halys	H. halys
XP_014270829.1	1	U-01	halys	H. halys
XP_014270830.1	1	U-01	halys	H. halys
XP_014270831.1	2	U-02	halys	H. halys
XP_014270832.1	1	U-01	halys	H. halys
XP_014270833.1	1	U-01	halys	H. halys
XP_014270834.1	1	U-01	halys	H. halys
XP_014270835.1	1	U-01	halys	H. halys
XP_014270837.1	1	U-01	halys	H. halys
