id	cluster_id	cluster_name	select	label
A0ABM2A3B7	6	U-06	albopictus	Ae. albopictus
A0ABM2A3C1	1	U-01	albopictus	Ae. albopictus
A0ABM2A3C2	1	U-01	albopictus	Ae. albopictus
A0ABM2A3C3	2	U-02	albopictus	Ae. albopictus
A0ABM2A3C4	2	U-02	albopictus	Ae. albopictus
A0ABM2A3C5	3	U-03	albopictus	Ae. albopictus
A0ABM2A3C6	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3C7	1	U-01	albopictus	Ae. albopictus
A0ABM2A3D0	4	U-04	albopictus	Ae. albopictus
A0ABM2A3D1	1	U-01	albopictus	Ae. albopictus
A0ABM2A3D2	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3D5	2	U-02	albopictus	Ae. albopictus
A0ABM2A3D7	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3E3	1	U-01	albopictus	Ae. albopictus
A0ABM2A3E6	1	U-01	albopictus	Ae. albopictus
A0ABM2A3E8	4	U-04	albopictus	Ae. albopictus
A0ABM2A3E9	3	U-03	albopictus	Ae. albopictus
A0ABM2A3F0	3	U-03	albopictus	Ae. albopictus
A0ABM2A3F1	1	U-01	albopictus	Ae. albopictus
A0ABM2A3F3	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3F4	1	U-01	albopictus	Ae. albopictus
A0ABM2A3F5	6	U-06	albopictus	Ae. albopictus
A0ABM2A3G4	4	U-04	albopictus	Ae. albopictus
A0ABM2A3G5	1	U-01	albopictus	Ae. albopictus
A0ABM2A3G9	4	U-04	albopictus	Ae. albopictus
A0ABM2A3H0	1	U-01	albopictus	Ae. albopictus
A0ABM2A3H2	4	U-04	albopictus	Ae. albopictus
A0ABM2A3H3	1	U-01	albopictus	Ae. albopictus
A0ABM2A3H4	1	U-01	albopictus	Ae. albopictus
A0ABM2A3H7	1	U-01	albopictus	Ae. albopictus
A0ABM2A3H8	5	U-05	albopictus	Ae. albopictus
A0ABM2A3I0	1	U-01	albopictus	Ae. albopictus
A0ABM2A3I2	2	U-02	albopictus	Ae. albopictus
A0ABM2A3I3	2	U-02	albopictus	Ae. albopictus
A0ABM2A3I6	1	U-01	albopictus	Ae. albopictus
A0ABM2A3I7	1	U-01	albopictus	Ae. albopictus
A0ABM2A3J0	3	U-03	albopictus	Ae. albopictus
A0ABM2A3K1	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3K3	1	U-01	albopictus	Ae. albopictus
A0ABM2A3K5	1	U-01	albopictus	Ae. albopictus
A0ABM2A3K6	0	unassigned	albopictus	Ae. albopictus
A0ABM2A3K7	1	U-01	albopictus	Ae. albopictus
A0ABM2A3K9	1	U-01	albopictus	Ae. albopictus
A0ABM2A3L3	2	U-02	albopictus	Ae. albopictus
A0ABM2A3L5	1	U-01	albopictus	Ae. albopictus
A0ABM2A3L6	1	U-01	albopictus	Ae. albopictus
A0ABM2A3L8	1	U-01	albopictus	Ae. albopictus
A0ABM2A3M3	2	U-02	albopictus	Ae. albopictus
A0ABM2A3M5	1	U-01	albopictus	Ae. albopictus
A0ABM2A3M6	1	U-01	albopictus	Ae. albopictus
A0ABM2A3M7	1	U-01	albopictus	Ae. albopictus
A0ABM2A3M9	3	U-03	albopictus	Ae. albopictus
A0ABM2A3N0	1	U-01	albopictus	Ae. albopictus
A0ABM2A3N4	6	U-06	albopictus	Ae. albopictus
A0ABM2A3N6	1	U-01	albopictus	Ae. albopictus
A0ABM2A3N7	6	U-06	albopictus	Ae. albopictus
A0ABM2A3N8	4	U-04	albopictus	Ae. albopictus
A0ABM2A3P2	3	U-03	albopictus	Ae. albopictus
A0ABM2A3P3	1	U-01	albopictus	Ae. albopictus
