id	cluster_id	cluster_name	select	label
A0A6I8TAI0	1	U-01	aegypti	Ae. aegypti
A0A6I8TAI2	1	U-01	aegypti	Ae. aegypti
A0A6I8TAI8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAI9	1	U-01	aegypti	Ae. aegypti
A0A6I8TAJ1	0	unassigned	aegypti	Ae. aegypti
A0A6I8TAJ2	1	U-01	aegypti	Ae. aegypti
A0A6I8TAJ8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAK4	1	U-01	aegypti	Ae. aegypti
A0A6I8TAK7	1	U-01	aegypti	Ae. aegypti
A0A6I8TAK8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAK9	1	U-01	aegypti	Ae. aegypti
A0A6I8TAM0	1	U-01	aegypti	Ae. aegypti
A0A6I8TAM6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAM7	0	unassigned	aegypti	Ae. aegypti
A0A6I8TAN0	1	U-01	aegypti	Ae. aegypti
A0A6I8TAN9	0	unassigned	aegypti	Ae. aegypti
A0A6I8TAP0	1	U-01	aegypti	Ae. aegypti
A0A6I8TAQ3	0	unassigned	aegypti	Ae. aegypti
A0A6I8TAS1	1	U-01	aegypti	Ae. aegypti
A0A6I8TAS4	1	U-01	aegypti	Ae. aegypti
A0A6I8TAS6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAT9	1	U-01	aegypti	Ae. aegypti
A0A6I8TAU0	1	U-01	aegypti	Ae. aegypti
A0A6I8TAU1	1	U-01	aegypti	Ae. aegypti
A0A6I8TAU3	1	U-01	aegypti	Ae. aegypti
A0A6I8TAU6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAU8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAV1	1	U-01	aegypti	Ae. aegypti
A0A6I8TAV3	1	U-01	aegypti	Ae. aegypti
A0A6I8TAV6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAV8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAW3	1	U-01	aegypti	Ae. aegypti
A0A6I8TAW6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAW7	1	U-01	aegypti	Ae. aegypti
A0A6I8TAW8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAW9	1	U-01	aegypti	Ae. aegypti
A0A6I8TAX3	1	U-01	aegypti	Ae. aegypti
A0A6I8TAX7	0	unassigned	aegypti	Ae. aegypti
A0A6I8TAX8	1	U-01	aegypti	Ae. aegypti
A0A6I8TAY6	1	U-01	aegypti	Ae. aegypti
A0A6I8TAY9	1	U-01	aegypti	Ae. aegypti
A0A6I8TAZ9	1	U-01	aegypti	Ae. aegypti
A0A6I8TB06	1	U-01	aegypti	Ae. aegypti
A0A6I8TB07	1	U-01	aegypti	Ae. aegypti
A0A6I8TB08	1	U-01	aegypti	Ae. aegypti
A0A6I8TB13	1	U-01	aegypti	Ae. aegypti
A0A6I8TB17	1	U-01	aegypti	Ae. aegypti
A0A6I8TB35	1	U-01	aegypti	Ae. aegypti
A0A6I8TB38	1	U-01	aegypti	Ae. aegypti
A0A6I8TB39	1	U-01	aegypti	Ae. aegypti
A0A6I8TB45	1	U-01	aegypti	Ae. aegypti
A0A6I8TB55	1	U-01	aegypti	Ae. aegypti
A0A6I8TB60	1	U-01	aegypti	Ae. aegypti
A0A6I8TB61	1	U-01	aegypti	Ae. aegypti
A0A6I8TB63	2	U-02	aegypti	Ae. aegypti
A0A6I8TB68	1	U-01	aegypti	Ae. aegypti
A0A6I8TB72	1	U-01	aegypti	Ae. aegypti
A0A6I8TB78	1	U-01	aegypti	Ae. aegypti
A0A6I8TB84	2	U-02	aegypti	Ae. aegypti
A0A6I8TB85	1	U-01	aegypti	Ae. aegypti
A0A6I8TB86	1	U-01	aegypti	Ae. aegypti
A0A6I8TB92	1	U-01	aegypti	Ae. aegypti
A0A6I8TB96	2	U-02	aegypti	Ae. aegypti
A0A6I8TB99	2	U-02	aegypti	Ae. aegypti
A0A6I8TBA3	1	U-01	aegypti	Ae. aegypti
A0A6I8TBA4	2	U-02	aegypti	Ae. aegypti
A0A6I8TBA9	1	U-01	aegypti	Ae. aegypti
A0A6I8TBB2	1	U-01	aegypti	Ae. aegypti
A0A6I8TBB6	1	U-01	aegypti	Ae. aegypti
A0A6I8TBB7	0	unassigned	aegypti	Ae. aegypti
A0A6I8TBC4	1	U-01	aegypti	Ae. aegypti
A0A6I8TBC6	2	U-02	aegypti	Ae. aegypti
A0A6I8TBC7	1	U-01	aegypti	Ae. aegypti
A0A6I8TBC9	2	U-02	aegypti	Ae. aegypti
A0A6I8TBD0	2	U-02	aegypti	Ae. aegypti
A0A6I8TBE3	1	U-01	aegypti	Ae. aegypti
A0A6I8TBE8	1	U-01	aegypti	Ae. aegypti
A0A6I8TBE9	1	U-01	aegypti	Ae. aegypti
A0A6I8TBF3	0	unassigned	aegypti	Ae. aegypti
A0A6I8TBF6	1	U-01	aegypti	Ae. aegypti
A0A6I8TBF7	0	unassigned	aegypti	Ae. aegypti
A0A6I8TBG0	0	unassigned	aegypti	Ae. aegypti
A0A6I8TBG4	2	U-02	aegypti	Ae. aegypti
A0A6I8TBG8	1	U-01	aegypti	Ae. aegypti
A0A6I8TBH9	1	U-01	aegypti	Ae. aegypti
A0A6I8TBI5	1	U-01	aegypti	Ae. aegypti
A0A6I8TBI9	2	U-02	aegypti	Ae. aegypti
A0A6I8TBJ4	1	U-01	aegypti	Ae. aegypti
A0A6I8TBK2	1	U-01	aegypti	Ae. aegypti
A0A6I8TBK3	1	U-01	aegypti	Ae. aegypti
A0A6I8TBK9	2	U-02	aegypti	Ae. aegypti
A0A6I8TBL6	1	U-01	aegypti	Ae. aegypti
A0A6I8TBL9	1	U-01	aegypti	Ae. aegypti
A0A6I8TBM3	1	U-01	aegypti	Ae. aegypti
A0A6I8TBM6	2	U-02	aegypti	Ae. aegypti
A0A6I8TBN6	1	U-01	aegypti	Ae. aegypti
A0A6I8TBN7	2	U-02	aegypti	Ae. aegypti
A0A6I8TBN8	1	U-01	aegypti	Ae. aegypti
A0A6I8TBQ0	1	U-01	aegypti	Ae. aegypti
A0A6I8TBQ8	1	U-01	aegypti	Ae. aegypti
A0A903USJ6	1	U-01	aegypti	Ae. aegypti
A0A903USL6	1	U-01	aegypti	Ae. aegypti
A0A903USX0	2	U-02	aegypti	Ae. aegypti
A0A903UT22	2	U-02	aegypti	Ae. aegypti
A0A903UT36	1	U-01	aegypti	Ae. aegypti
A0A903UT81	1	U-01	aegypti	Ae. aegypti
A0A903UT98	1	U-01	aegypti	Ae. aegypti
A0A903UTA3	0	unassigned	aegypti	Ae. aegypti
A0A903UTH9	1	U-01	aegypti	Ae. aegypti
A0A903UTI3	1	U-01	aegypti	Ae. aegypti
A0A903UTM0	1	U-01	aegypti	Ae. aegypti
A0A903UTM5	1	U-01	aegypti	Ae. aegypti
A0A903UTN9	1	U-01	aegypti	Ae. aegypti
A0A903UTP2	1	U-01	aegypti	Ae. aegypti
A0A903UTX1	1	U-01	aegypti	Ae. aegypti
A0A903UTY4	1	U-01	aegypti	Ae. aegypti
A0A903UU00	1	U-01	aegypti	Ae. aegypti
A0A903UU26	1	U-01	aegypti	Ae. aegypti
A0A903UUG4	1	U-01	aegypti	Ae. aegypti
A0A903UUJ4	1	U-01	aegypti	Ae. aegypti
A0A903UUL9	1	U-01	aegypti	Ae. aegypti
A0A903UUM8	1	U-01	aegypti	Ae. aegypti
A0A903UUU2	0	unassigned	aegypti	Ae. aegypti
A0A903UUU3	1	U-01	aegypti	Ae. aegypti
A0A903UUV5	1	U-01	aegypti	Ae. aegypti
A0A903UV08	2	U-02	aegypti	Ae. aegypti
A0A903UV14	1	U-01	aegypti	Ae. aegypti
A0A903UV55	1	U-01	aegypti	Ae. aegypti
A0A903UV80	1	U-01	aegypti	Ae. aegypti
A0A903UV86	1	U-01	aegypti	Ae. aegypti
A0A903UVA8	1	U-01	aegypti	Ae. aegypti
A0A903UVT1	2	U-02	aegypti	Ae. aegypti
A0A903UVX0	1	U-01	aegypti	Ae. aegypti
A0A903UW21	1	U-01	aegypti	Ae. aegypti
A0A903UWF1	2	U-02	aegypti	Ae. aegypti
A0A903UWI4	1	U-01	aegypti	Ae. aegypti
A0A903UWU0	1	U-01	aegypti	Ae. aegypti
A0A903UWW5	2	U-02	aegypti	Ae. aegypti
A0A903UWX1	1	U-01	aegypti	Ae. aegypti
A0A903UWX4	1	U-01	aegypti	Ae. aegypti
A0A903UWY5	1	U-01	aegypti	Ae. aegypti
A0A903UWY6	0	unassigned	aegypti	Ae. aegypti
A0A903UWY9	1	U-01	aegypti	Ae. aegypti
A0A903UX01	2	U-02	aegypti	Ae. aegypti
A0A903UX20	1	U-01	aegypti	Ae. aegypti
A0A903UX31	1	U-01	aegypti	Ae. aegypti
A0A903UX33	0	unassigned	aegypti	Ae. aegypti
A0A903UXH1	1	U-01	aegypti	Ae. aegypti
A0A903UXH6	1	U-01	aegypti	Ae. aegypti
A0A903UXI0	1	U-01	aegypti	Ae. aegypti
A0A903UXI5	2	U-02	aegypti	Ae. aegypti
A0A903UXI7	2	U-02	aegypti	Ae. aegypti
A0A903UXK8	2	U-02	aegypti	Ae. aegypti
A0A903UXN3	1	U-01	aegypti	Ae. aegypti
A0A903UXT8	2	U-02	aegypti	Ae. aegypti
A0A903UY39	1	U-01	aegypti	Ae. aegypti
A0A903UY76	1	U-01	aegypti	Ae. aegypti
A0A903UY91	1	U-01	aegypti	Ae. aegypti
A0A903UYA9	2	U-02	aegypti	Ae. aegypti
A0A903UYF4	1	U-01	aegypti	Ae. aegypti
A0A903UYG1	0	unassigned	aegypti	Ae. aegypti
A0A903UYI8	1	U-01	aegypti	Ae. aegypti
A0A903UYI9	1	U-01	aegypti	Ae. aegypti
A0A903UYK2	0	unassigned	aegypti	Ae. aegypti
A0A903UYL6	1	U-01	aegypti	Ae. aegypti
A0A903UYL8	1	U-01	aegypti	Ae. aegypti
A0A903UYM2	1	U-01	aegypti	Ae. aegypti
