id	cluster_id	cluster_name	select	label
A0A1S4H070	1	U-01	gambiae	A. gambiae
A0A1S4H073	1	U-01	gambiae	A. gambiae
A0A1S4H076	1	U-01	gambiae	A. gambiae
A0A1S4H085	1	U-01	gambiae	A. gambiae
A0A1S4H086	1	U-01	gambiae	A. gambiae
A0A1S4H094	1	U-01	gambiae	A. gambiae
A0A1S4H096	1	U-01	gambiae	A. gambiae
A0A1S4H099	1	U-01	gambiae	A. gambiae
A0A1S4H0A4	1	U-01	gambiae	A. gambiae
A0A1S4H0A6	2	U-02	gambiae	A. gambiae
A0A1S4H0B1	1	U-01	gambiae	A. gambiae
A0A1S4H0B2	2	U-02	gambiae	A. gambiae
A0A1S4H0B3	1	U-01	gambiae	A. gambiae
A0A1S4H0C1	0	unassigned	gambiae	A. gambiae
A0A1S4H0C8	1	U-01	gambiae	A. gambiae
A0A1S4H0D6	1	U-01	gambiae	A. gambiae
A0A1S4H0E6	1	U-01	gambiae	A. gambiae
A0A1S4H0F0	0	unassigned	gambiae	A. gambiae
A0A1S4H0F2	0	unassigned	gambiae	A. gambiae
A0A1S4H0F6	1	U-01	gambiae	A. gambiae
A0A1S4H0F8	1	U-01	gambiae	A. gambiae
A0A1S4H0G1	1	U-01	gambiae	A. gambiae
A0A1S4H0G8	0	unassigned	gambiae	A. gambiae
A0A1S4H0H0	1	U-01	gambiae	A. gambiae
A0A1S4H0H6	2	U-02	gambiae	A. gambiae
A0A1S4H0I0	1	U-01	gambiae	A. gambiae
A0A1S4H0I6	1	U-01	gambiae	A. gambiae
A0A1S4H0J1	1	U-01	gambiae	A. gambiae
A0A1S4H0J2	1	U-01	gambiae	A. gambiae
A0A1S4H0J5	1	U-01	gambiae	A. gambiae
A0A1S4H0J8	1	U-01	gambiae	A. gambiae
A0A1S4H0K1	1	U-01	gambiae	A. gambiae
A0A1S4H0K2	2	U-02	gambiae	A. gambiae
A0A1S4H0K4	0	unassigned	gambiae	A. gambiae
A0A1S4H0K7	2	U-02	gambiae	A. gambiae
A0A1S4H0K9	1	U-01	gambiae	A. gambiae
A0A1S4H0L1	2	U-02	gambiae	A. gambiae
A0A1S4H0L3	1	U-01	gambiae	A. gambiae
A0A1S4H0L7	1	U-01	gambiae	A. gambiae
