id	cluster_id	cluster_name	select	label
A0A6I8U1L1	0	unassigned	aedes	A. aegypti
A0A6I8U1L2	3	U-03	aedes	A. aegypti
A0A6I8U1L7	4	U-04	aedes	A. aegypti
A0A6I8U1L9	2	U-02	aedes	A. aegypti
A0A6I8U1M0	4	U-04	aedes	A. aegypti
A0A6I8U1M1	1	U-01	aedes	A. aegypti
A0A6I8U1M4	2	U-02	aedes	A. aegypti
A0A6I8U1M6	0	unassigned	aedes	A. aegypti
A0A6I8U1M7	0	unassigned	aedes	A. aegypti
A0A6I8U1M8	0	unassigned	aedes	A. aegypti
A0A6I8U1M9	1	U-01	aedes	A. aegypti
A0A6I8U1N2	1	U-01	aedes	A. aegypti
A0A6I8U1N3	0	unassigned	aedes	A. aegypti
A0A6I8U1N5	0	unassigned	aedes	A. aegypti
A0A6I8U1N6	0	unassigned	aedes	A. aegypti
A0A6I8U1N9	1	U-01	aedes	A. aegypti
A0A6I8U1P2	1	U-01	aedes	A. aegypti
A0A6I8U1P8	2	U-02	aedes	A. aegypti
A0A6I8U1P9	3	U-03	aedes	A. aegypti
A0A6I8U1Q0	1	U-01	aedes	A. aegypti
A0A6I8U1Q1	1	U-01	aedes	A. aegypti
A0A6I8U1Q2	1	U-01	aedes	A. aegypti
A0A6I8U1Q3	0	unassigned	aedes	A. aegypti
A0A6I8U1Q7	0	unassigned	aedes	A. aegypti
A0A6I8U1Q9	0	unassigned	aedes	A. aegypti
A0A6I8U1R2	0	unassigned	aedes	A. aegypti
A0A6I8U1R7	0	unassigned	aedes	A. aegypti
A0A6I8U1R8	1	U-01	aedes	A. aegypti
A0A6I8U1R9	1	U-01	aedes	A. aegypti
A0A6I8U1S2	1	U-01	aedes	A. aegypti
A0A6I8U1S3	1	U-01	aedes	A. aegypti
A0A6I8U1S4	1	U-01	aedes	A. aegypti
A0A6I8U1S6	1	U-01	aedes	A. aegypti
A0A6I8U1S8	0	unassigned	aedes	A. aegypti
A0A6I8U1T1	1	U-01	aedes	A. aegypti
A0A6I8U1T3	0	unassigned	aedes	A. aegypti
A0A6I8U1T5	0	unassigned	aedes	A. aegypti
A0A6I8U1T9	3	U-03	aedes	A. aegypti
A0A6I8U1U3	1	U-01	aedes	A. aegypti
A0A6I8U1U8	0	unassigned	aedes	A. aegypti
A0A6I8U1V2	0	unassigned	aedes	A. aegypti
A0A6I8U1V3	0	unassigned	aedes	A. aegypti
A0A6I8U1V7	0	unassigned	aedes	A. aegypti
A0A6I8U1W1	0	unassigned	aedes	A. aegypti
A0A6I8U1W4	0	unassigned	aedes	A. aegypti
A0A6I8U1W5	0	unassigned	aedes	A. aegypti
A0A6I8U1W9	0	unassigned	aedes	A. aegypti
A0A6I8U1X0	1	U-01	aedes	A. aegypti
A0A6I8U1X6	1	U-01	aedes	A. aegypti
A0A6I8U1X7	1	U-01	aedes	A. aegypti
A0A6I8U1X8	1	U-01	aedes	A. aegypti
A0A6I8U1Y0	0	unassigned	aedes	A. aegypti
A0A6I8U1Y1	1	U-01	aedes	A. aegypti
A0A6I8U1Y2	0	unassigned	aedes	A. aegypti
A0A6I8U1Y3	4	U-04	aedes	A. aegypti
A0A6I8U1Y4	3	U-03	aedes	A. aegypti
A0A6I8U1Y9	0	unassigned	aedes	A. aegypti
A0A6I8U1Z2	1	U-01	aedes	A. aegypti
A0A6I8U1Z4	2	U-02	aedes	A. aegypti
