id	cluster_id	cluster_name	select	label
A0A9P0E6T9	1	U-01	pentatomidae	N. viridula
A0A9P0ECW2	1	U-01	pentatomidae	N. viridula
A0A9P0H085	1	U-01	pentatomidae	N. viridula
A0A9P0H1S5	1	U-01	pentatomidae	N. viridula
A0A9P0H1V6	3	U-03	pentatomidae	N. viridula
A0A9P0H384	1	U-01	pentatomidae	N. viridula
A0A9P0H5L4	1	U-01	pentatomidae	N. viridula
A0A9P0H9R0	1	U-01	pentatomidae	N. viridula
A0A9P0HA40	1	U-01	pentatomidae	N. viridula
A0A9P0HBB7	3	U-03	pentatomidae	N. viridula
A0A9P0HBG1	1	U-01	pentatomidae	N. viridula
A0A9P0HBT5	3	U-03	pentatomidae	N. viridula
A0A9P0HCL3	1	U-01	pentatomidae	N. viridula
A0A9P0HFY7	1	U-01	pentatomidae	N. viridula
A0A9P0HGI3	2	U-02	pentatomidae	N. viridula
A0A9P0HM53	1	U-01	pentatomidae	N. viridula
A0A9P0HNA2	1	U-01	pentatomidae	N. viridula
A0A9P0HNC6	1	U-01	pentatomidae	N. viridula
A0A9P0HPA1	1	U-01	pentatomidae	N. viridula
A0A9P0MLX8	1	U-01	pentatomidae	N. viridula
A0A9P0MM94	1	U-01	pentatomidae	N. viridula
A0A9P0MPJ6	1	U-01	pentatomidae	N. viridula
A0A9P0MW45	2	U-02	pentatomidae	N. viridula
A0A9P0DW14	1	U-01	pentatomidae	N. viridula
A0A9P0DZD3	2	U-02	pentatomidae	N. viridula
A0A9P0E040	0	unassigned	pentatomidae	N. viridula
A0A9P0E0J9	1	U-01	pentatomidae	N. viridula
A0A9P0E382	2	U-02	pentatomidae	N. viridula
A0A9P0E3Y9	1	U-01	pentatomidae	N. viridula
A0A9P0E5P1	1	U-01	pentatomidae	N. viridula
A0A9P0E6P6	1	U-01	pentatomidae	N. viridula
A0A9P0E8G7	1	U-01	pentatomidae	N. viridula
A0A9P0E9Y3	1	U-01	pentatomidae	N. viridula
A0A9P0E9Z5	1	U-01	pentatomidae	N. viridula
A0A9P0ECI7	2	U-02	pentatomidae	N. viridula
A0A9P0ED61	1	U-01	pentatomidae	N. viridula
A0A9P0EFD5	1	U-01	pentatomidae	N. viridula
A0A9P0GUX4	1	U-01	pentatomidae	N. viridula
A0A9P0GWP0	1	U-01	pentatomidae	N. viridula
A0A9P0GZK2	2	U-02	pentatomidae	N. viridula
A0A9P0H1V3	2	U-02	pentatomidae	N. viridula
A0A9P0H8Z3	1	U-01	pentatomidae	N. viridula
A0A9P0H9Q9	1	U-01	pentatomidae	N. viridula
A0A9P0HA22	1	U-01	pentatomidae	N. viridula
A0A9P0HA28	1	U-01	pentatomidae	N. viridula
A0A9P0HA86	1	U-01	pentatomidae	N. viridula
A0A9P0HAP9	1	U-01	pentatomidae	N. viridula
A0A9P0HBG3	1	U-01	pentatomidae	N. viridula
A0A9P0HCV5	1	U-01	pentatomidae	N. viridula
A0A9P0HDC1	1	U-01	pentatomidae	N. viridula
A0A9P0HDI6	2	U-02	pentatomidae	N. viridula
A0A9P0HEA6	1	U-01	pentatomidae	N. viridula
A0A9P0HGJ1	1	U-01	pentatomidae	N. viridula
A0A9P0HGJ4	1	U-01	pentatomidae	N. viridula
A0A9P0HHB9	1	U-01	pentatomidae	N. viridula
A0A9P0HJ56	2	U-02	pentatomidae	N. viridula
A0A9P0HKB4	1	U-01	pentatomidae	N. viridula
A0A9P0HLR7	1	U-01	pentatomidae	N. viridula
A0A9P0HNR6	1	U-01	pentatomidae	N. viridula
A0A9P0HSC3	1	U-01	pentatomidae	N. viridula
A0A9P0MI33	1	U-01	pentatomidae	N. viridula
A0A9P0MLE1	1	U-01	pentatomidae	N. viridula
A0A9P0MMR9	1	U-01	pentatomidae	N. viridula
A0A9P0MNT1	3	U-03	pentatomidae	N. viridula
A0A9P0MNY9	3	U-03	pentatomidae	N. viridula
A0A9P0MS43	1	U-01	pentatomidae	N. viridula
A0A9P0MTH4	3	U-03	pentatomidae	N. viridula
A0A9P0MTL4	1	U-01	pentatomidae	N. viridula
A0A9P0MU12	1	U-01	pentatomidae	N. viridula
A0A9P0MUK1	1	U-01	pentatomidae	N. viridula
A0A9P0MWQ8	1	U-01	pentatomidae	N. viridula
A0A9P0MXU5	1	U-01	pentatomidae	N. viridula
A0A9P0DX74	1	U-01	pentatomidae	N. viridula
A0A9P0DX84	1	U-01	pentatomidae	N. viridula
A0A9P0DXG5	1	U-01	pentatomidae	N. viridula
A0A9P0DXY6	3	U-03	pentatomidae	N. viridula
A0A9P0DY89	1	U-01	pentatomidae	N. viridula
A0A9P0DYF7	1	U-01	pentatomidae	N. viridula
A0A9P0DYT7	1	U-01	pentatomidae	N. viridula
A0A9P0DYZ0	0	unassigned	pentatomidae	N. viridula
A0A9P0DZ05	1	U-01	pentatomidae	N. viridula
A0A9P0DZB2	2	U-02	pentatomidae	N. viridula
A0A9P0DZG7	2	U-02	pentatomidae	N. viridula
A0A9P0DZI5	1	U-01	pentatomidae	N. viridula
A0A9P0DZJ0	1	U-01	pentatomidae	N. viridula
A0A9P0DZJ5	1	U-01	pentatomidae	N. viridula
A0A9P0DZT8	1	U-01	pentatomidae	N. viridula
A0A9P0DZZ6	1	U-01	pentatomidae	N. viridula
A0A9P0E038	1	U-01	pentatomidae	N. viridula
A0A9P0E0C7	3	U-03	pentatomidae	N. viridula
A0A9P0E0J8	1	U-01	pentatomidae	N. viridula
A0A9P0E0M5	1	U-01	pentatomidae	N. viridula
A0A9P0E136	1	U-01	pentatomidae	N. viridula
A0A9P0E146	1	U-01	pentatomidae	N. viridula
A0A9P0E178	1	U-01	pentatomidae	N. viridula
A0A9P0E1A9	3	U-03	pentatomidae	N. viridula
A0A9P0E1N2	3	U-03	pentatomidae	N. viridula
A0A9P0E1Q1	1	U-01	pentatomidae	N. viridula
A0A9P0E5A0	1	U-01	pentatomidae	N. viridula
A0A9P0E5A1	1	U-01	pentatomidae	N. viridula
A0A9P0GXR1	1	U-01	pentatomidae	N. viridula
A0A9P0GXR4	1	U-01	pentatomidae	N. viridula
A0A9P0GXR6	0	unassigned	pentatomidae	N. viridula
