id	cluster_id	cluster_name	select	label
A0A9P0HFE1	2	U-02	viridula	N. viridula
A0A9P0HFE3	2	U-02	viridula	N. viridula
A0A9P0HFE4	1	U-01	viridula	N. viridula
A0A9P0HFE5	1	U-01	viridula	N. viridula
A0A9P0HFE6	2	U-02	viridula	N. viridula
A0A9P0HFE7	0	unassigned	viridula	N. viridula
A0A9P0HFE8	1	U-01	viridula	N. viridula
A0A9P0HFF2	0	unassigned	viridula	N. viridula
A0A9P0HFF3	1	U-01	viridula	N. viridula
A0A9P0HFF6	4	U-04	viridula	N. viridula
A0A9P0HFF7	2	U-02	viridula	N. viridula
A0A9P0HFG2	2	U-02	viridula	N. viridula
A0A9P0HFG3	2	U-02	viridula	N. viridula
A0A9P0HFG5	1	U-01	viridula	N. viridula
A0A9P0HFH0	1	U-01	viridula	N. viridula
A0A9P0HFH1	1	U-01	viridula	N. viridula
A0A9P0HFH2	0	unassigned	viridula	N. viridula
A0A9P0HFH4	2	U-02	viridula	N. viridula
A0A9P0HFH7	0	unassigned	viridula	N. viridula
A0A9P0HFH9	1	U-01	viridula	N. viridula
A0A9P0HFI0	1	U-01	viridula	N. viridula
A0A9P0HFI3	4	U-04	viridula	N. viridula
A0A9P0HFI5	0	unassigned	viridula	N. viridula
A0A9P0HFI6	1	U-01	viridula	N. viridula
A0A9P0HFI7	0	unassigned	viridula	N. viridula
A0A9P0HFJ0	1	U-01	viridula	N. viridula
A0A9P0HFJ1	1	U-01	viridula	N. viridula
A0A9P0HFJ2	2	U-02	viridula	N. viridula
A0A9P0HFJ3	1	U-01	viridula	N. viridula
A0A9P0HFJ5	1	U-01	viridula	N. viridula
A0A9P0HFJ6	1	U-01	viridula	N. viridula
A0A9P0HFJ9	0	unassigned	viridula	N. viridula
A0A9P0HFK0	0	unassigned	viridula	N. viridula
A0A9P0HFK2	1	U-01	viridula	N. viridula
A0A9P0HFK3	1	U-01	viridula	N. viridula
A0A9P0HFK5	1	U-01	viridula	N. viridula
A0A9P0HFK6	0	unassigned	viridula	N. viridula
A0A9P0HFK8	1	U-01	viridula	N. viridula
A0A9P0HFK9	0	unassigned	viridula	N. viridula
A0A9P0HFL0	2	U-02	viridula	N. viridula
A0A9P0HFL1	4	U-04	viridula	N. viridula
A0A9P0HFL2	2	U-02	viridula	N. viridula
A0A9P0HFL4	2	U-02	viridula	N. viridula
A0A9P0HFL6	1	U-01	viridula	N. viridula
A0A9P0HFL7	1	U-01	viridula	N. viridula
A0A9P0HFL9	2	U-02	viridula	N. viridula
A0A9P0HFM1	1	U-01	viridula	N. viridula
A0A9P0HFM2	0	unassigned	viridula	N. viridula
A0A9P0HFM4	1	U-01	viridula	N. viridula
A0A9P0HFM5	1	U-01	viridula	N. viridula
A0A9P0HFM6	1	U-01	viridula	N. viridula
A0A9P0HFM8	2	U-02	viridula	N. viridula
A0A9P0HFN0	2	U-02	viridula	N. viridula
A0A9P0HFN2	0	unassigned	viridula	N. viridula
A0A9P0HFN4	1	U-01	viridula	N. viridula
A0A9P0HFN6	1	U-01	viridula	N. viridula
A0A9P0HFN8	1	U-01	viridula	N. viridula
A0A9P0HFP0	2	U-02	viridula	N. viridula
A0A9P0HFP2	1	U-01	viridula	N. viridula
A0A9P0HFP3	1	U-01	viridula	N. viridula
A0A9P0HFP4	0	unassigned	viridula	N. viridula
