id	cluster_id	cluster_name	select	label
A0ABM1XRL9	1	U-01	albopictus	Ae. albopictus
A0ABM1XRN5	1	U-01	albopictus	Ae. albopictus
A0ABM1XRN8	1	U-01	albopictus	Ae. albopictus
A0ABM1XRN9	1	U-01	albopictus	Ae. albopictus
A0ABM1XS39	1	U-01	albopictus	Ae. albopictus
A0ABM1XS46	1	U-01	albopictus	Ae. albopictus
A0ABM1XS65	1	U-01	albopictus	Ae. albopictus
A0ABM1XS68	1	U-01	albopictus	Ae. albopictus
A0ABM1XS75	1	U-01	albopictus	Ae. albopictus
A0ABM1XS88	2	U-02	albopictus	Ae. albopictus
A0ABM1XS91	2	U-02	albopictus	Ae. albopictus
A0ABM1XSA2	1	U-01	albopictus	Ae. albopictus
A0ABM1XSC5	1	U-01	albopictus	Ae. albopictus
A0ABM1XSD7	1	U-01	albopictus	Ae. albopictus
A0ABM1XSN0	1	U-01	albopictus	Ae. albopictus
A0ABM1XSN2	1	U-01	albopictus	Ae. albopictus
A0ABM1XSN3	1	U-01	albopictus	Ae. albopictus
A0ABM1XSS9	1	U-01	albopictus	Ae. albopictus
A0ABM1XTH4	1	U-01	albopictus	Ae. albopictus
A0ABM1XTZ6	2	U-02	albopictus	Ae. albopictus
A0ABM1XU25	1	U-01	albopictus	Ae. albopictus
A0ABM1XU45	1	U-01	albopictus	Ae. albopictus
A0ABM1XU48	1	U-01	albopictus	Ae. albopictus
A0ABM1XUB5	1	U-01	albopictus	Ae. albopictus
A0ABM1XUF7	2	U-02	albopictus	Ae. albopictus
A0ABM1XUI6	1	U-01	albopictus	Ae. albopictus
A0ABM1XUJ5	1	U-01	albopictus	Ae. albopictus
A0ABM1XUT4	1	U-01	albopictus	Ae. albopictus
A0ABM1XUU4	1	U-01	albopictus	Ae. albopictus
A0ABM1XUU7	1	U-01	albopictus	Ae. albopictus
A0ABM1XUU9	1	U-01	albopictus	Ae. albopictus
A0ABM1XUV1	1	U-01	albopictus	Ae. albopictus
A0ABM1XUX8	1	U-01	albopictus	Ae. albopictus
A0ABM1XUZ2	1	U-01	albopictus	Ae. albopictus
A0ABM1XV07	1	U-01	albopictus	Ae. albopictus
A0ABM1XV58	1	U-01	albopictus	Ae. albopictus
A0ABM1XV61	1	U-01	albopictus	Ae. albopictus
A0ABM1XVD7	1	U-01	albopictus	Ae. albopictus
A0ABM1XVG0	1	U-01	albopictus	Ae. albopictus
A0ABM1XVG9	1	U-01	albopictus	Ae. albopictus
A0ABM1XVN1	1	U-01	albopictus	Ae. albopictus
A0ABM1XVN9	1	U-01	albopictus	Ae. albopictus
A0ABM1XVP5	1	U-01	albopictus	Ae. albopictus
A0ABM1XVS0	1	U-01	albopictus	Ae. albopictus
A0ABM1XVV7	1	U-01	albopictus	Ae. albopictus
A0ABM1XVX8	1	U-01	albopictus	Ae. albopictus
A0ABM1XVZ6	1	U-01	albopictus	Ae. albopictus
A0ABM1XW99	1	U-01	albopictus	Ae. albopictus
A0ABM1XWA1	1	U-01	albopictus	Ae. albopictus
A0ABM1XWA5	1	U-01	albopictus	Ae. albopictus
A0ABM1XWB0	1	U-01	albopictus	Ae. albopictus
A0ABM1XWB3	1	U-01	albopictus	Ae. albopictus
A0ABM1XWG9	1	U-01	albopictus	Ae. albopictus
A0ABM1XWJ5	1	U-01	albopictus	Ae. albopictus
