id	cluster_id	cluster_name	select	label
A0AB39ZQD3	1	U-01	suzukii	D. suzukii
A0AB39ZQD6	0	unassigned	suzukii	D. suzukii
A0AB39ZQE4	1	U-01	suzukii	D. suzukii
A0AB39ZQF2	1	U-01	suzukii	D. suzukii
A0AB39ZQI9	1	U-01	suzukii	D. suzukii
A0AB39ZQJ3	1	U-01	suzukii	D. suzukii
A0AB39ZQK1	1	U-01	suzukii	D. suzukii
A0AB39ZQM3	1	U-01	suzukii	D. suzukii
A0AB39ZQQ5	1	U-01	suzukii	D. suzukii
A0AB39ZQT7	2	U-02	suzukii	D. suzukii
A0AB39ZQU1	1	U-01	suzukii	D. suzukii
A0AB39ZQU8	1	U-01	suzukii	D. suzukii
A0AB39ZQX1	1	U-01	suzukii	D. suzukii
A0AB39ZQX2	1	U-01	suzukii	D. suzukii
A0AB39ZQY1	1	U-01	suzukii	D. suzukii
A0AB39ZR18	1	U-01	suzukii	D. suzukii
A0AB39ZR39	1	U-01	suzukii	D. suzukii
A0AB39ZR47	3	U-03	suzukii	D. suzukii
A0AB39ZR54	1	U-01	suzukii	D. suzukii
A0AB39ZR71	2	U-02	suzukii	D. suzukii
A0AB39ZRC1	1	U-01	suzukii	D. suzukii
A0AB39ZRK6	1	U-01	suzukii	D. suzukii
A0AB39ZRW1	2	U-02	suzukii	D. suzukii
A0AB39ZS43	2	U-02	suzukii	D. suzukii
A0AB39ZS57	1	U-01	suzukii	D. suzukii
A0AB39ZS65	0	unassigned	suzukii	D. suzukii
A0AB39ZS83	1	U-01	suzukii	D. suzukii
A0AB39ZS87	1	U-01	suzukii	D. suzukii
A0AB39ZSB3	1	U-01	suzukii	D. suzukii
A0AB39ZSG8	1	U-01	suzukii	D. suzukii
A0AB39ZSG9	1	U-01	suzukii	D. suzukii
A0AB39ZSI2	1	U-01	suzukii	D. suzukii
A0AB39ZSI6	1	U-01	suzukii	D. suzukii
A0AB39ZSK1	1	U-01	suzukii	D. suzukii
A0AB39ZSK2	1	U-01	suzukii	D. suzukii
A0AB39ZSK4	1	U-01	suzukii	D. suzukii
A0AB39ZSL9	1	U-01	suzukii	D. suzukii
A0AB39ZSP6	1	U-01	suzukii	D. suzukii
A0AB39ZSQ3	2	U-02	suzukii	D. suzukii
A0AB39ZSR8	1	U-01	suzukii	D. suzukii
A0AB39ZSS8	1	U-01	suzukii	D. suzukii
A0AB39ZST9	0	unassigned	suzukii	D. suzukii
A0AB39ZSU6	0	unassigned	suzukii	D. suzukii
A0AB39ZSZ1	0	unassigned	suzukii	D. suzukii
A0AB39ZSZ4	1	U-01	suzukii	D. suzukii
A0AB39ZT16	1	U-01	suzukii	D. suzukii
A0AB39ZT33	0	unassigned	suzukii	D. suzukii
A0AB39ZT79	1	U-01	suzukii	D. suzukii
A0AB39ZTJ7	1	U-01	suzukii	D. suzukii
A0AB39ZTP2	1	U-01	suzukii	D. suzukii
A0AB39ZTQ3	1	U-01	suzukii	D. suzukii
A0AB39ZTR5	1	U-01	suzukii	D. suzukii
A0AB39ZTW6	2	U-02	suzukii	D. suzukii
A0AB39ZTY6	1	U-01	suzukii	D. suzukii
A0AB39ZU00	1	U-01	suzukii	D. suzukii
A0AB39ZU28	2	U-02	suzukii	D. suzukii
A0AB39ZU42	1	U-01	suzukii	D. suzukii
A0AB39ZU51	3	U-03	suzukii	D. suzukii
A0AB39ZU57	3	U-03	suzukii	D. suzukii
A0AB39ZU58	2	U-02	suzukii	D. suzukii
A0AB39ZU66	3	U-03	suzukii	D. suzukii
A0AB39ZU68	1	U-01	suzukii	D. suzukii
A0AB39ZU72	1	U-01	suzukii	D. suzukii
A0AB39ZU73	1	U-01	suzukii	D. suzukii
A0AB39ZU80	2	U-02	suzukii	D. suzukii
A0AB39ZU83	2	U-02	suzukii	D. suzukii
A0AB39ZU85	2	U-02	suzukii	D. suzukii
A0AB39ZU86	2	U-02	suzukii	D. suzukii
A0AB39ZU90	1	U-01	suzukii	D. suzukii
A0AB39ZUA7	3	U-03	suzukii	D. suzukii
A0AB39ZUB7	1	U-01	suzukii	D. suzukii
A0AB39ZUC0	1	U-01	suzukii	D. suzukii
A0AB39ZUC4	2	U-02	suzukii	D. suzukii
A0AB39ZUD5	2	U-02	suzukii	D. suzukii
A0AB39ZUD7	3	U-03	suzukii	D. suzukii
A0AB39ZUE0	2	U-02	suzukii	D. suzukii
A0AB39ZUE3	3	U-03	suzukii	D. suzukii
A0AB39ZUE6	2	U-02	suzukii	D. suzukii
A0AB39ZUE7	2	U-02	suzukii	D. suzukii
A0AB39ZUF9	1	U-01	suzukii	D. suzukii
