id	cluster_id	cluster_name	select	label
Q9VG42	1	U-01	melanogaster	D. melanogaster
Q9VG51	1	U-01	melanogaster	D. melanogaster
Q9VG58	1	U-01	melanogaster	D. melanogaster
Q9VG74	1	U-01	melanogaster	D. melanogaster
Q9VG76	1	U-01	melanogaster	D. melanogaster
Q9VG92	0	unassigned	melanogaster	D. melanogaster
Q9VG93	0	unassigned	melanogaster	D. melanogaster
Q9VG94	0	unassigned	melanogaster	D. melanogaster
Q9VG95	0	unassigned	melanogaster	D. melanogaster
Q9VG96	0	unassigned	melanogaster	D. melanogaster
Q9VG98	0	unassigned	melanogaster	D. melanogaster
Q9VGD4	1	U-01	melanogaster	D. melanogaster
Q9VGE2	1	U-01	melanogaster	D. melanogaster
Q9VGG9	1	U-01	melanogaster	D. melanogaster
Q9VGH5	1	U-01	melanogaster	D. melanogaster
Q9VGI0	0	unassigned	melanogaster	D. melanogaster
Q9VGJ9	1	U-01	melanogaster	D. melanogaster
Q9VGM1	1	U-01	melanogaster	D. melanogaster
A0A0B4KFR6	1	U-01	melanogaster	D. melanogaster
A0A0B4KFR8	1	U-01	melanogaster	D. melanogaster
A0A0B4KFT4	0	unassigned	melanogaster	D. melanogaster
A0A0B4KFU3	1	U-01	melanogaster	D. melanogaster
A0A0B4KFW5	1	U-01	melanogaster	D. melanogaster
A0A0B4KFX5	1	U-01	melanogaster	D. melanogaster
A0A0B4KFX7	1	U-01	melanogaster	D. melanogaster
A0A0B4KFY4	1	U-01	melanogaster	D. melanogaster
A0A0B4KFY9	1	U-01	melanogaster	D. melanogaster
A0A0B4KFZ1	3	U-03	melanogaster	D. melanogaster
A0A0B4KFZ2	1	U-01	melanogaster	D. melanogaster
A0A0B4KFZ3	1	U-01	melanogaster	D. melanogaster
A0A0B4KG01	1	U-01	melanogaster	D. melanogaster
A0A0B4KG28	1	U-01	melanogaster	D. melanogaster
A0A0B4KG47	1	U-01	melanogaster	D. melanogaster
A0A0B4KG51	1	U-01	melanogaster	D. melanogaster
A0A0B4KG54	1	U-01	melanogaster	D. melanogaster
A0A0B4KG58	1	U-01	melanogaster	D. melanogaster
A0A0B4KG63	1	U-01	melanogaster	D. melanogaster
A0A0B4KG69	1	U-01	melanogaster	D. melanogaster
A0A0B4KG76	1	U-01	melanogaster	D. melanogaster
A0A0B4KG85	1	U-01	melanogaster	D. melanogaster
A0A0B4KG87	1	U-01	melanogaster	D. melanogaster
A0A0B4KG96	1	U-01	melanogaster	D. melanogaster
A0A0B4KG97	1	U-01	melanogaster	D. melanogaster
A0A0B4KGA3	1	U-01	melanogaster	D. melanogaster
A0A0B4KGB4	1	U-01	melanogaster	D. melanogaster
A0A0B4KGD1	1	U-01	melanogaster	D. melanogaster
A0A0B4KGD3	1	U-01	melanogaster	D. melanogaster
A0A0B4KGE4	2	U-02	melanogaster	D. melanogaster
A0A0B4KGE9	3	U-03	melanogaster	D. melanogaster
A0A0B4KGG9	1	U-01	melanogaster	D. melanogaster
A0A0B4KGH9	2	U-02	melanogaster	D. melanogaster
A0A0B4KGI0	1	U-01	melanogaster	D. melanogaster
A0A0B4KGK0	1	U-01	melanogaster	D. melanogaster
A0A0B4KGK7	1	U-01	melanogaster	D. melanogaster
A0A0B4KGL7	2	U-02	melanogaster	D. melanogaster
A0A0B4KGN2	1	U-01	melanogaster	D. melanogaster
A0A0B4KGQ3	2	U-02	melanogaster	D. melanogaster
A0A0B4KGR1	1	U-01	melanogaster	D. melanogaster
A0A0B4KGR7	1	U-01	melanogaster	D. melanogaster
A0A0B4KGT8	1	U-01	melanogaster	D. melanogaster
A0A0B4KGV3	1	U-01	melanogaster	D. melanogaster
A0A0B4KGV9	1	U-01	melanogaster	D. melanogaster
A0A0B4KGW0	1	U-01	melanogaster	D. melanogaster
A0A0B4KGW6	1	U-01	melanogaster	D. melanogaster
A0A0B4KGX3	1	U-01	melanogaster	D. melanogaster
A0A0B4KGY5	1	U-01	melanogaster	D. melanogaster
A0A0B4KGZ1	2	U-02	melanogaster	D. melanogaster
A0A0B4KGZ3	1	U-01	melanogaster	D. melanogaster
