id	cluster_id	cluster_name	select	label
M9NEN0	1	U-01	melanogaster	D. melanogaster
M9NEN9	2	U-02	melanogaster	D. melanogaster
M9NEQ0	1	U-01	melanogaster	D. melanogaster
M9NES0	1	U-01	melanogaster	D. melanogaster
M9NEU5	1	U-01	melanogaster	D. melanogaster
M9NEV0	1	U-01	melanogaster	D. melanogaster
M9NEV8	1	U-01	melanogaster	D. melanogaster
M9NEY3	1	U-01	melanogaster	D. melanogaster
M9NEY4	1	U-01	melanogaster	D. melanogaster
M9NEY5	1	U-01	melanogaster	D. melanogaster
M9NF02	1	U-01	melanogaster	D. melanogaster
M9NF11	1	U-01	melanogaster	D. melanogaster
M9NF12	3	U-03	melanogaster	D. melanogaster
M9NF29	1	U-01	melanogaster	D. melanogaster
M9NF36	0	unassigned	melanogaster	D. melanogaster
M9NF48	2	U-02	melanogaster	D. melanogaster
M9NF61	1	U-01	melanogaster	D. melanogaster
M9NF66	1	U-01	melanogaster	D. melanogaster
M9NFB6	1	U-01	melanogaster	D. melanogaster
M9NFC0	1	U-01	melanogaster	D. melanogaster
M9NFD1	0	unassigned	melanogaster	D. melanogaster
M9NFD3	0	unassigned	melanogaster	D. melanogaster
M9NFF9	1	U-01	melanogaster	D. melanogaster
M9NFI2	1	U-01	melanogaster	D. melanogaster
M9NFJ2	1	U-01	melanogaster	D. melanogaster
M9NFM7	1	U-01	melanogaster	D. melanogaster
M9NFQ0	0	unassigned	melanogaster	D. melanogaster
M9NFQ8	1	U-01	melanogaster	D. melanogaster
M9NFY2	0	unassigned	melanogaster	D. melanogaster
M9NG83	1	U-01	melanogaster	D. melanogaster
M9NGF6	0	unassigned	melanogaster	D. melanogaster
M9NGG0	1	U-01	melanogaster	D. melanogaster
M9NGI1	1	U-01	melanogaster	D. melanogaster
M9NGK2	0	unassigned	melanogaster	D. melanogaster
M9NGQ9	3	U-03	melanogaster	D. melanogaster
M9NGR9	1	U-01	melanogaster	D. melanogaster
M9NGT4	1	U-01	melanogaster	D. melanogaster
M9NGY4	1	U-01	melanogaster	D. melanogaster
